complaint,symptoms,category,urgency,red_flags
"Keputihan berbau dan gatal","keputihan,gatal,bau,nyeri","Ginekologi","Green",""
"Telat haid 2 minggu dan mual-mual","telat haid,mual,pusing,payudara nyeri","Ginekologi","Green",""
"Hamil 8 bulan, keluar darah dan perut kram","perdarahan,nyeri perut,hamil tua","Obstetri","Red","perdarahan kehamilan"
"Anak rewel, demam tinggi dan kejang","demam tinggi,kejang,rewel","Pediatri","Red","kejang demam"
"Bayi mencret terus, lemas dan tidak mau minum","diare,dehidrasi,lemas,rewel","Pediatri","Red","dehidrasi bayi"
"Anak batuk pilek biasa, masih aktif bermain","batuk,pilek,demam ringan","Pediatri","Green",""
"Kencing manis tidak terkontrol, gula darah 400","hiperglikemia,haus,sering kencing,lemas","Endokrin","Yellow","gula darah tinggi"
"Diabetes, kaki kebas dan luka sulit sembuh","neuropati,luka,kebas,kesemutan","Endokrin","Yellow","komplikasi diabetes"
"Hipertensi, kepala pusing dan tengkuk tegang","hipertensi,sakit kepala,tengkuk tegang","Kardiovaskular","Yellow","hipertensi"
"Tekanan darah 200/120, kepala sangat sakit dan pandangan kabur","hipertensi emergency,sakit kepala hebat,pandangan kabur,mual","Kardiovaskular","Red","hipertensi emergency"
"Stress, susah tidur dan cemas terus","insomnia,cemas,gelisah,jantung berdebar","Psikiatri","Green",""
"Depresi berat, tidak mau makan dan ingin bunuh diri","depresi,ide bunuh diri,tidak mau makan,putus asa","Psikiatri","Red","ide bunuh diri"
"Terbakar air panas di tangan, melepuh","luka bakar,nyeri,melepuh","Trauma","Yellow","luka bakar"
"Kecelakaan, tangan patah dan berdarah banyak","fraktur,perdarahan,nyeri hebat,deformitas","Trauma","Red","trauma mayor"
"Jatuh dari motor, kepala benjol dan pusing","trauma kepala,benjol,pusing,mual","Trauma","Red","trauma kepala"
